legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.008056640625983887,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,189.0,141.0,110.0,87.0,73.0
max_sprt | min_stop=50 | alpha=0.054657226562499994,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,192.0,141.0,110.0,87.0,71.0
bravo    | p=0.7 | min_stop=50 | alpha=0.18050781249999998,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,172.0,106.0,76.0,61.0
bravo    | p=0.55 | min_stop=50 | alpha=0.12489941406249999,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,239.0,180.0,144.0,119.0,100.0,88.0
clip     | min_stop=50 | alpha=0.11416796874999999,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,189.0,141.0,109.0,87.0,73.0
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=0.18050781249999998,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,172.0,106.0,76.0,61.0
bravo_without_replacement | p=0.55 | min_stop=50 | alpha=0.12002148437499999,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,239.0,182.0,145.0,119.0,100.0,88.0
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.18555501953124998,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,200.0,144.0,107.0,84.0,67.0
bayesian_with_replacement | a=1 | b=1 | min_stop=50 | critical_value=0.008300781259833984,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,189.0,141.0,110.0,87.0,73.0
