legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.0047607421884904785,58.0,79.0,152.0,227.0,296.0,337.0,339.0,316.0,275.0,183.0,125.0,91.0,70.0,58.0,51.0,50.0
max_sprt | min_stop=50 | alpha=0.037096679687499995,55.0,74.0,132.0,196.0,268.0,314.0,322.0,305.0,266.0,181.0,120.0,88.0,67.0,55.0,50.0,50.0
bravo    | p=0.7 | min_stop=50 | alpha=0.18050781249999998,51.0,51.0,53.0,53.0,53.0,53.0,53.0,56.0,58.0,64.0,66.0,58.0,51.0,50.0,50.0,50.0
bravo    | p=0.55 | min_stop=50 | alpha=0.0712421875,155.0,232.0,312.0,348.0,369.0,371.0,357.0,325.0,283.0,207.0,159.0,129.0,108.0,93.0,83.0,72.0
clip     | min_stop=50 | alpha=0.07514453125,58.0,79.0,139.0,205.0,275.0,318.0,327.0,307.0,268.0,181.0,123.0,88.0,67.0,55.0,51.0,50.0
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=0.17855664062499998,51.0,51.0,53.0,53.0,53.0,53.0,53.0,56.0,58.0,64.0,66.0,58.0,51.0,50.0,50.0,50.0
bravo_without_replacement | p=0.55 | min_stop=50 | alpha=0.0644130859375,164.0,248.0,329.0,365.0,384.0,384.0,365.0,329.0,287.0,214.0,164.0,132.0,111.0,96.0,84.0,75.0
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.16211775390625,56.0,61.0,80.0,111.0,165.0,230.0,268.0,272.0,248.0,170.0,108.0,78.0,58.0,51.0,50.0,50.0
bayesian_with_replacement | a=1 | b=1 | min_stop=50 | critical_value=0.005310058603643799,60.0,77.0,139.0,205.0,275.0,318.0,327.0,307.0,268.0,181.0,120.0,88.0,67.0,55.0,51.0,50.0
