legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | critical_value=1e-12,999.0,999.0,997.0,994.0,989.0,978.0,961.0,929.0,886.0,784.0,677.0,577.0,490.0,416.0,355.0,302.0
max_sprt | alpha=0.0156337890625,24.0,85.0,507.0,768.0,863.0,888.0,884.0,855.0,789.0,556.0,361.0,252.0,183.0,140.0,111.0,89.0
bravo    | p=0.7 | alpha=0.05832865464687347,44.0,59.0,72.0,79.0,90.0,107.0,125.0,152.0,193.0,331.0,462.0,379.0,218.0,135.0,95.0,72.0
bravo    | p=0.55 | alpha=0.05953515625,312.0,554.0,773.0,832.0,855.0,855.0,832.0,773.0,672.0,445.0,308.0,232.0,186.0,154.0,131.0,112.0
bravo    | p=0.52 | alpha=0.15904492187499997,596.0,878.0,929.0,933.0,929.0,913.0,878.0,811.0,707.0,500.0,374.0,296.0,243.0,207.0,180.0,158.0
clip     | alpha=0.026365234374999998,55.0,168.0,621.0,800.0,865.0,882.0,871.0,833.0,760.0,514.0,334.0,232.0,172.0,132.0,104.0,83.0
bravo_without_replacement | p=0.7 | alpha=1,6.0,11.0,965.0,968.0,960.0,945.0,925.0,902.0,874.0,63.0,31.0,21.0,16.0,11.0,8.0,8.0
bravo_without_replacement | p=0.55 | alpha=1,13.0,19.0,32.0,38.0,38.0,34.0,28.0,22.0,19.0,15.0,11.0,9.0,9.0,7.0,7.0,5.0
bravo_without_replacement | p=0.52 | alpha=1,19.0,27.0,35.0,35.0,33.0,29.0,25.0,21.0,19.0,15.0,11.0,9.0,9.0,7.0,7.0,5.0
truncated_bayesian | a=1 | b=1 | critical_value=0.060556269531250005,26.0,52.0,214.0,557.0,791.0,865.0,882.0,870.0,827.0,624.0,398.0,268.0,189.0,141.0,108.0,87.0
bayesian_with_replacement | a=1 | b=1 | critical_value=0.0030517578224389654,52.0,163.0,619.0,800.0,867.0,884.0,874.0,838.0,760.0,519.0,337.0,234.0,172.0,132.0,104.0,83.0
