legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | critical_value=0.0022277832041205444,2000.0,2000.0,2000.0,2000.0,2000.0,1455.0,856.0,563.0,397.0,229.0,149.0,106.0,80.0,60.0,48.0,40.0
max_sprt | alpha=0.015624738216400149,2000.0,2000.0,2000.0,2000.0,2000.0,1616.0,918.0,590.0,415.0,234.0,152.0,106.0,80.0,61.0,48.0,40.0
bravo    | p=0.7 | alpha=0.05834616088867187,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,968.0,127.0,74.0,52.0,39.0,34.0,29.0
bravo    | p=0.55 | alpha=0.0527060546875,2000.0,2000.0,2000.0,2000.0,2000.0,1164.0,648.0,450.0,345.0,236.0,179.0,145.0,122.0,105.0,90.0,82.0
clip     | alpha=0.04392578125,2000.0,2000.0,2000.0,2000.0,2000.0,1497.0,852.0,552.0,388.0,222.0,144.0,103.0,77.0,60.0,48.0,40.0
bravo_without_replacement | p=0.7 | alpha=0.058193725585937495,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,948.0,130.0,74.0,52.0,42.0,34.0,29.0
bravo_without_replacement | p=0.55 | alpha=0.048803710937499994,2000.0,2000.0,2000.0,2000.0,2000.0,1142.0,650.0,455.0,350.0,240.0,181.0,148.0,125.0,108.0,93.0,83.0
truncated_bayesian | a=1 | b=1 | critical_value=0.056650058593750004,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1228.0,740.0,490.0,255.0,155.0,104.0,73.0,55.0,42.0,34.0
bayesian_with_replacement | a=1 | b=1 | critical_value=0.002563476572448731,2000.0,2000.0,2000.0,2000.0,2000.0,1497.0,854.0,552.0,388.0,222.0,144.0,100.0,77.0,60.0,48.0,37.0
