legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | critical_value=0.05,1000.0,1000.0,72.0,46.0,34.0,27.0,22.0,17.0,15.0,12.0,10.0,10.0,7.0,7.0,7.0,7.0
max_sprt | alpha=0.05,1000.0,1000.0,1000.0,1000.0,577.0,284.0,173.0,117.0,87.0,52.0,37.0,27.0,21.0,16.0,13.0,9.0
bravo    | p=0.7 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,271.0,72.0,47.0,37.0,30.0,25.0,19.0,19.0
bravo    | p=0.55 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,541.0,371.0,282.0,232.0,171.0,135.0,114.0,97.0,85.0,76.0,70.0
clip     | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,664.0,383.0,252.0,180.0,105.0,72.0,52.0,40.0,32.0,27.0,21.0
bravo_without_replacement | p=0.7 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,243.0,72.0,47.0,35.0,27.0,24.0,19.0,19.0
bravo_without_replacement | p=0.55 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,951.0,506.0,355.0,275.0,227.0,168.0,135.0,112.0,97.0,84.0,76.0,70.0
truncated_bayesian | a=1 | b=1 | critical_value=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,610.0,358.0,231.0,121.0,73.0,50.0,37.0,26.0,20.0,17.0
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,1000.0,1000.0,73.0,46.0,34.0,27.0,22.0,17.0,15.0,12.0,10.0,10.0,7.0,7.0,7.0,7.0
