legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | critical_value=0.05,159.0,691.0,1844.0,1923.0,1921.0,1840.0,1541.0,1100.0,786.0,455.0,297.0,208.0,153.0,118.0,92.0,75.0
max_sprt | alpha=0.05,110.0,467.0,1819.0,1949.0,1967.0,1961.0,1907.0,1697.0,1292.0,741.0,478.0,331.0,242.0,186.0,146.0,117.0
bravo    | p=0.7 | alpha=0.05,82.0,115.0,148.0,171.0,201.0,241.0,299.0,387.0,523.0,1180.0,1767.0,1465.0,631.0,332.0,211.0,148.0
bravo    | p=0.55 | alpha=0.05,493.0,977.0,1746.0,1914.0,1952.0,1954.0,1925.0,1788.0,1405.0,769.0,501.0,362.0,280.0,226.0,188.0,158.0
clip     | alpha=0.05,143.0,547.0,1859.0,1960.0,1977.0,1973.0,1948.0,1832.0,1495.0,868.0,558.0,389.0,285.0,217.0,170.0,137.0
bravo_without_replacement | p=0.7 | alpha=0.05,85.0,115.0,148.0,170.0,203.0,243.0,301.0,384.0,523.0,1180.0,1762.0,1460.0,626.0,329.0,211.0,148.0
bravo_without_replacement | p=0.55 | alpha=0.05,501.0,999.0,1768.0,1920.0,1953.0,1955.0,1922.0,1768.0,1371.0,755.0,494.0,360.0,278.0,223.0,185.0,158.0
truncated_bayesian | a=1 | b=1 | critical_value=0.05,83.0,236.0,1373.0,1911.0,1974.0,1980.0,1974.0,1939.0,1788.0,1086.0,679.0,461.0,329.0,247.0,190.0,151.0
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,157.0,648.0,1813.0,1912.0,1917.0,1845.0,1566.0,1122.0,799.0,460.0,297.0,208.0,153.0,118.0,92.0,75.0
